Id,Name,Custodian,Account Number Formats
235,Torrey Pines Bank,torreypinesbai2,NNNNNNNNNN (Master)
236,TriState Capital Bank,tristatebai2,NNNNNNNNN (Master)
238,Vanguard Flagship Select,vanguard,"NNNNNNNN (Master)
NNNNNNNNNN (Master)
NNNN-NNNNNNN (Master)
NNNNNNNNN-NN (Master)
NNNNNNNNNNN (Master)"
239,Canaccord Financial,canaccord,NNXXXXXX (Master)
240,Union Bancaire Privee AG,ubpswitzerland,NNNNNNNNNNNN (Master)
241,Sweet Water Securities,pershingsweetwater,XXXNNNNNN (Master)
243,Independent Bank,independentbankbai2,NNNNNNN (Master)
244,Commerce Trust Company,fiscommercetrust,NNNNNNNNN (Master)
245,Amerant Bank,pershingamerant,XXXNNNNNN (Master)
246,World Equity Group,pershingworldequitygroup,XXXNNNNNN (Master)
247,LifeInvest Asset Management,pershinglifeinvest,XXXNNNNNN (Master)
248,Shareholders Service Group,pershingssg,XXXNNNNNN (Master)
249,Portfolio Resources Group,pershingportfolioresources,XXXNNNNNN (Master)
250,Northwestern Mutual Wealth Management Company,pershingnwm,XXXNNNNNN (Master)
251,Richardson GMP,richardsongmp,NNAAAANA (Master)
252,Trustmark National Bank,smatrustmark,NNNNNNNNNN (Master)
253,Banco Popular,fispopular,NNNNNNNNN (Master)
254,Charles Schwab Retirement Business Services,schwabrbs,NNNNNN (Master)
256,Fidelity Investments Life Insurance,fidelitylifeinsurance,NNNNNNNNN (Master)
257,Banco Santander Private Bank Suisse,bancosantandersuisse,"AANNNNNNN (Master)
AAANNNNNNN (Master)"
258,Fidelity Clearing Canada,fidelityclearingcanada,ANANNNNA (Master)
259,Citi Private Bank (EMEA),citiprivatebankemea,"ANNNNNNNN (Master)
NNNNNNNNNN (Master)"
260,Arcadia Securities,pershingarcadia,XXXNNNNNN (Master)
261,Bernardi Securities,pershingbernardi,XXXNNNNNN (Master)
262,UBS Bank,ubsbankcanada,NNNNNN (Master)
263,Folger Nolan Fleming Douglas,pershingfolgernolan,XXXNNNNNN (Master)
264,Texas Capital Bank,texascapitalbankbai2,NNNNNNNNNN (Master)
266,ProCapital Sociedad de Bolsa SA,pershingprocapital,XXXNNNNNN (Master)
267,Global Wealth Mangement (GWM),pershingglobalwealth,XXXNNNNNN (Master)
268,American Portfolios Financial Services Inc,pershingamericanportfolios,XXXNNNNNN (Master)
269,Northern Trust International Banking,northerntrustibcbai2,NNNNNNNNNNN (Master)
270,CAIS Group,pcrcais,XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX (Master)
271,Bank of Nova Scotia ,bankofnovascotiabai2,NNNNNNNNNNNNN (Master)
274,First Hawaiian Bank,smafirsthawaiianbank,NNNNNNNNN (Master)
276,Tigress Financial,pershingtigress,XXXNNNNNN (Master)
277,XP Investments,pershingxpinvestments,XXXNNNNNN (Master)
278,JP Morgan Commercial Bank,jpmorganbai2,NNNNNNNNN (Master)
279,GBM International,pershinggbminternational,XXXNNNNNN (Master)
280,PCR Alternatives Aggregation Services (Newport),pcrnewport,NNNNN (Master)
281,PCR Alternatives Aggregation Service,pcralts,XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX (Master)
282,New York Digital Investment Group (NYDIG),nydig,NNNNN (Master)
283,Herold & Lantern Investments,pershingheroldlantern,XXXNNNNNN (Master)
284,Miura Capital LLC,pershingmiuracapital,XXXNNNNNN (Master)
285,US Bank Money Center,usbankmoneycenter,NNNNNNNNN (Master)
286,The Chicago Trust Company,fischicagotrust,NNNNNNNNN (Master)
287,MapleMark Bank - ICS,maplemarkicsbai2,"NNNNNNNN (Master)
NNNNNNNNNN (Master)"
288,BMO Investorline,bmocanada,NNNNNNNN (Master)
289,BMO Nesbitt Burns,bmocanada,NNNNNNNN (Master)
290,BMO Private Banking,bmocanada,NNN-NNNNN (Master)
291,Pacific Premier Trust, smapacificpremiertrust,NNNNNNNNNNNN (Master)
292,Adhesion,adhesion,"AANNNNNNNN (Master)
AANNNNNNNNN (Master)
AAAAANNNNNNNA (Master)
AAAAANNNNNNN-A (Master)
AAANNN-NNNNNN-A (Master)
AAANNNNNNNNNA (Master)
AAANNNNNNNNN (Master)
AAANNN-NNNNNN (Master)
NNN (Master)"
293,Jefferies LLC,pershingjefferies,XXXNNNNNN (Master)
294,San Pasqual Fiduciary Trust Company,fissanpasqualfiduciarytrust,NNNNNNNNN (Master)
296,Snowden Lane,pershingsnowdenlane,XXXNNNNNN (Master)
297,National Advisors Trust Company,nationaladvisorstrust,NNNNNNNNNNN (Master)
298,Lake City Bank,fislakecity,NNNNNNNNN (Master)
299,Associated Trust Company,fisassociatedtrust,"NNANNNNNN (Master)
NNNNNNNNN (Master)"
300,First Financial Bank,firstfinancialbai2,NNNNNNNNNN (Master)
301,RBC Private Banking Retail (CA),rbcbusinessbankingbai2,NNNNNNNNNNNNNNNNN (Master)
302,Safra National Bank of New York,safrany,"NNNNNNN (Master)
NNNNNNNN (Master)
NNNNNNNNNN (Master)
AXXNNNN (Master)"
303,"Credit Suisse PsN Light APAC (AU, GB, GG, HK, SG)",creditsuissepsnapac,"NNNNN-N (Master)
NNNNNN-N (Master)
NNNNNN-NN (Master)
NNNNNN-NNN (Master)
NNNNNNN-N (Master)
NNNNNNN-NN (Master)"
304,BMO Online Banking for Business,bmoolbbbai2,NNNNNNNNNN (Master)
305,Bank of America,bankofamerica,NNNNNNNNNNNN (Master)
306,BMO Prime Brokerage,bmoprimebrokerage,"AAAAN (Master)
AAAAA (Master)"
307,DST FanMail,dst,
308,Bank of America CashPro,bankofamericabai2,NNNNNNNNNNNN (Master)
309,StoneCastle Cash Management,stonecastle,"NNNNNNNNNNNN (Master)
NNNNNNNNNNNN-NNNNNNNNNN (Master)"
311,Aurora Private Wealth,pershingaurorapw,XXXNNNNNN (Master)
